title,type,spdxId,creationInfo,name,builtTime,originatedBy,software_downloadLocation,dataset_confidentialityLevel,dataset_dataCollectionProcess,dataset_dataPreprocessing,comment,dataset_datasetAvailability,dataset_datasetSize,dataset_datasetType,dataset_intendedUse,dataset_anonymizationMethodUsed,dataset_datasetnoise,dataset_hasSensitivePersonalInformation,dataset_UpdateMechanism,dataset_knownBias,dataset_description,dataset_sensor,dataset_homePage,dataset_license,Sources,Sources1
commitpackft-tex_BOM,,Unknown,2023-08-20T07:13:43+00:00,bigcode/commitpackft,2023-06-27T06:54:48+00:00,bigcode,https://huggingface.co/bigcode/commitpackft,public,"Data was collected through Git repositories, specifically GitHub, using tools like GHTorrent or custom scripts to extract commit information and modifications.","The data underwent a preprocessing phase where it was cleaned and aligned with specific code modification tasks. This included filtering out irrelevant files, ensuring relevance to the intended tasks (e.g., bug fixing), and organizing commits into a structured format suitable for instruction-tuning Code LLMs.",Unknown,public,34280013.98 KB,Unknown,Unknown,"GitHub's inherent anonymization of usernames, followed by additional anonymization steps applied during the dataset preparation to further remove any identifiable information.","Low noise after preprocessing. The corpus focuses on meaningful code changes relevant to specific programming tasks, ensuring minimal extraneous data.","Minimal sensitive information present, as GitHub handles user details with anonymization measures in place。",Periodically updated with new commits fromGitHub repositories. OCTOGEEX models are re-trained with fresh data sourced similarly to maintain relevance and accuracy.,Potential language bias toward English and dominant programming languages due to the nature of GitHub's usage patterns. Limited support for less common programming languages may exist due to lower contribution volumes.,"A corpus comprising code changes fromcommits on GitHub, used for instruction-tuning large language models (Code LLMs) to enhance their performance across a variety of programming tasks, including bug fixing and documentation editing.",Unknown,https://arxiv.org/abs/2308.07124,mit,,
tsy-autotnli_BOM,,,2023-05-31T08:55:41+00:00,tasksource/autotnli,2023-02-07T21:36:51+00:00,tasksource,https://huggingface.co/tasksource/autotnli,public,"The dataset was created by systematically varying parameters across different categories (e.g., Person, City) using predefined templates and synthetic data generation techniques to produce entailment relations.","The dataset was preprocessed to create training instances for textual entailment tasks, involving the systematic variation of attributes across different categories.",Unknown,public,821574.91 KB,"Textual entailment dataset for NLP tasks, specifically designed to evaluate AI models on recognizing entailment relations.",['text-classification'],Not discussed in the provided context; likely not applicable since it uses synthetic data with no personal information.,"Synthetic dataset, so it is designed to have controlled and minimal noise. May include variations based on reasoning types but no inherent noise.","No sensitive personal information included; focuses on concepts like Person, City, University, etc., without personal data.",Not specified in the context provided; possibly not available as updates are typically for dynamic datasets which this is not.,"Potential bias from the distribution of reasoning types (e.g., more simple lookup and lexical examples), but balanced across different entailment labels.","A synthetic textual entailment dataset generated using templates, designed to study AI models' ability to handle various reasoning tasks in natural language processing.",No physical sensors used; entirely text-based.,https://autotnli.github.io/,apache-2.0,,
fc-sni-gap_BOM,,Unknown,2018-10-18T17:48:21+00:00,gap_coreference,2020-11-10T12:00:12+00:00,google-research-datasets,https://github.com/google-research-datasets/gap-coreference.git,Unknown,Unknown,Unknown,Unknown,public,1102 KB,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,http://goo.gl/language/gap-coreference,Unknown,https://www.kaggle.com/datasets/owen1226/gap-coreference,Apache License 2.0,,
commitpackft-hlsl_BOM,,Unknown,2023-08-20T07:13:43+00:00,bigcode/commitpackft,2023-06-27T06:54:48+00:00,bigcode,https://huggingface.co/bigcode/commitpackft,Public,The dataset was collected through automated tools that gathered code snippets from public repositories and issue tracking systems. This included pulling examples of code before and after fixes were applied.,"The raw data underwent cleaning processes to remove redundant or incomplete commits. Normalization of code syntax and context, along with extraction of commit descriptions helped in creating structured datasets.",Unknown,public,34280013.98 KB,Text-based dataset consisting of before-and-after code snippets with associated commit descriptions.,Unknown,"Anonymized by removing user identities and sensitive project details, focusing solely on code content with context.","Known to have issues like duplicate entries, incorrect or incomplete fixes, and ambiguous commit messages that reduce its utility for certain applications.",Does not contain personal data beyond contributor anonymous identifiers if any. Primarily contains code-related information.,No active updates as of its last release due to the challenges faced by the project team in maintaining accuracy and relevance.,"Biased towards projects with more frequent commits, certain programming languages, and particular types of issues commonly addressed in open-source projects.",A collection of code snippets paired with commit messages aiming to demonstrate fixes for identified bugs. Primarily used for training or evaluating models on code correction tasks.,Unknown,https://arxiv.org/abs/2308.07124,mit,commitpackft-solidity_BOM,
commitpackft-solidity_BOM,,Unknown,2023-08-20T07:13:43+00:00,bigcode/commitpackft,2023-06-27T06:54:48+00:00,bigcode,https://huggingface.co/bigcode/commitpackft,Public,"The dataset was collected by analyzing GitHub repositories to extract code changes (commits) specifically in Solidity files, with a focus on functional and bug-fixer commits.","Preprocessing involved automated cleaning, normalization, and formatting of the extracted Solidity code. Changes were systematically filtered based on their relevance to specific programming tasks related to smart contracts.",Unknown,public,34280013.98 KB,Text,Unknown,None,Low,None,"Periodically updated to include new commits from open-source repositories, but without a real-time update feature.","Potential bias may exist towards projects with more active communities and contributions. Additionally, the dataset might overrepresent certain coding patterns or common mistakes frequently addressed in Solidity smart contracts. There could also be a language bias due to the dominance of English in commit messages and code documentation.","This dataset comprises functional and bug-fixing commits in Solidity programming language from various open-source projects. It is specifically curated for training AI models to understand and generate code fixes, focusing on enhancing their capability to handle smart contracts effectively.",None,https://arxiv.org/abs/2308.07124,mit,commitpackft-html+erb_BOM,book-summaries_BOM
tsi-snips_built_in_intents_BOM,,Unknown,2016-12-23T11:03:58+00:00,ATIS Airline Travel Information System,2020-09-23T15:55:14+00:00,sonos,https://github.com/sonos/nlu-benchmark.git,Unknown,Unknown,Unknown,Unknown,public,1222 KB,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,ATIS Intent Classification Dataset,Unknown,https://www.kaggle.com/datasets/hassanamin/atis-airlinetravelinformationsystem,Creative Commons Zero v1.0 Universal,,
commitpackft-groovy_BOM,,Unknown,2023-08-20T07:13:43+00:00,bigcode/commitpackft,2023-06-27T06:54:48+00:00,bigcode,https://huggingface.co/bigcode/commitpackft,Public,"Extracted from public GitHub and GitLab repositories, focusing on commits related to the Groovy programming language.","Anonymized usernames, repository names, and emails. Cleaned and validated commits to ensure quality and consistency.",Unknown,public,34280013.98 KB,"Code change dataset with structured information about commits, diffs, original code, and modified code.",Unknown,"Anonymization of usernames, repository names, emails, and IP addresses.",Minimal noise due to filtering invalid or incomplete commits.,None; all sensitive data has been anonymized.,Periodically updated with new commits and improvements.,"Potential bias towards popular or active open-source projects in the Groovy ecosystem, which may not fully represent all use cases.","A collection of code changes (commits) in Groovy across various open-source projects, focusing on modifications to functions, bug fixes, and feature enhancements. The dataset emphasizes community contributions and specific features related to the Groovy language.",N/A,https://arxiv.org/abs/2308.07124,mit,,
oasst-en_BOM,,Unknown,2023-05-02T13:21:21+00:00,OpenAssistant/oasst1,2023-04-13T15:48:16+00:00,OpenAssistant,https://huggingface.co/OpenAssistant/oasst1,Public,Data was collected via a conversation tree approach where volunteers contributed prompts and replies using an open-source web interface. Conversations were built in multiple languages and labeled with scores for quality control.,"Conversations underwent anonymization to remove personal information, utilizing NLP techniques. Replies were subject to initial filtering to ensure safety and quality before integration into the dataset.",Unknown,public,1540076.51 KB,The dataset is text-based and focuses on conversational data formatted as dialogue between multiple participants.,Unknown,Anonymization involved removing personal information through natural language processing techniques during data preparation。,"Moderate noise exists due to volunteer contributions, though replies are checked for safety and quality post-collection.",Checked for toxic or sensitive content; such entries are removed. Minimal risk of remaining traces given imperfect detection methods.,"Initial collection was a one-time effort in 2022-2023, but the dataset can be expanded through community contributions.",Possible language and cultural biases towards English-speaking contributors. Topic representation may reflect the interests and availability of volunteers rather than global diversity.,"A large-scale conversational dataset in multiple languages built using a tree methodology with volunteer interactions, scored replies for high-quality conversation trees useful for training AI models.",None,https://open-assistant.io,apache-2.0,,
tsi-lingnli_BOM,,Unknown,2023-05-31T08:40:53+00:00,tasksource/lingnli,2023-01-11T20:59:56+00:00,tasksource,https://huggingface.co/tasksource/lingnli,Public,"Constructed through iterated rounds of collection and curation by linguists and crowdworkers following principles in linguistic typology, stylistics, lexicography, and composition. Data is collected for each premise across three different annotation protocols (Baseline, LitL, LitL Chat), ensuring diversity in hypothesis creation according to specific creativity heuristics.","Each generated hypothesis is validated by expert linguists for clarity, correctness, and alignment with the desired linguistic principles.",Unknown,public,103879.20 KB,"Textual dataset focusing on linguistics and natural language analysis. It includes premises and corresponding hypotheses across three different annotation protocols (Baseline, LitL, LitL Chat).",['text-classification'],No explicit anonymization methods are described since the dataset examples do not contain personal information or identifiable data points.,Minimal noise is expected due to the careful curation and validation process involving expert linguists.,None; the dataset primarily contains abstract linguistic constructions without personal data.,"No explicit update mechanism is discussed, but future updates could follow similar collaborative processes with linguist oversight if additional data collection rounds are conducted.","Potential biases may stem from the inherent focus on specific linguistic principles and creativity heuristics, which might favor certain types of language over others. The dataset's construction involves human subjective judgment in hypothesis creation, introducing potential personal bias despite efforts to minimize it.","The dataset is constructed for linguistic analysis within natural language processing contexts. It focuses on diverse linguistic strategies across multiple annotation protocols, emphasizing creativity and adherence to specific linguistic principles.",None; the dataset is purely textual in nature.,https://huggingface.co/tasksource/lingnli,unknown,,
tsi-nan_nli-joey234__nan_nli_BOM,,Unknown,2022-10-13T23:18:18+00:00,joey234/nan-nli,2022-10-13T23:16:18+00:00,joey234,https://huggingface.co/joey234/nan-nli,Public,"The dataset was collected through manual annotation and expert linguistic analysis, focusing on creating samples that manipulate negation scopes and contexts in natural language understanding tasks.","Data preprocessing involved crafting premises and hypotheses with careful consideration of negation, leveraging existing datasets like MNLI (Multi-Genre Natural Language Inference) and NegNLI.",Unknown,public,7278.72 KB,Textual,['text-classification'],None (the dataset consists of generic text samples without personal or sensitive information),Low (samples are carefully constructed to minimize noise and focus on negation challenges),None,"Not specified in the documentation, but updates may be added periodically as new findings emerge.","The dataset may have language-specific biases, as it was designed for use with English-based natural language understanding tasks. Additionally, expert annotations could introduce subjective biases.",TSI-NAN-NLI is a research dataset focused on analyzing and improving models' handling of negation in natural language understanding tasks. It includes samples where negation plays a critical role in determining the logical relationships between text segments。,None (the dataset does not involve sensor data),https://huggingface.co/joey234/nan-nli,['cc-by-sa-4.0'],,
tsy-babi_nli-simple_negation_BOM,,Unknown,2024-06-19T12:03:10+00:00,tasksource/babi_nli,2023-01-01T14:39:33+00:00,tasksource,https://huggingface.co/tasksource/babi_nli,Public,Synthetic stories created using templates without real user data.,Text normalization and standardization for NLP tasks.,Unknown,public,403547.52 KB,N/A,['text-classification'],Not applicable (synthetic dataset).,Low noise due to controlled synthetic generation.,"None present, as the dataset is synthetic.",Static; no real-time updates or incremental additions.,May exhibit limitations in generalizability to diverse real-world scenarios.,"A synthetic NLP benchmark dataset used for developing and testing Memory Networks (MemNNs) on tasks involving simple negation, based on the bAbI framework. Publicly available due to absence of personal information.",None,https://huggingface.co/tasksource/babi_nli,bsd,,
commitpackft-html+erb_BOM,,Unknown,2023-08-20T07:13:43+00:00,bigcode/commitpackft,2023-06-27T06:54:48+00:00,bigcode,https://huggingface.co/bigcode/commitpackft,Public,"The data was collected from publicly available code repositories, such as GitHub and GitLab, using tools like the GitHub API. The dataset consists of code changes (commits) made by developers across various projects.","Preprocessing involved extracting relevant information from commits, removing sensitive or irrelevant content, and formatting the data for training large language models. This included cleaning up commit messages, code snippets, and other metadata.",Unknown,public,34280013.98 KB,"Code-related, containing commits, pull requests, and associated metadata from various software projects.",Unknown,"Anonymization was performed by removing personal information such as usernames, email addresses, and other identifiers. All code snippets were reviewed to ensure no sensitive data was included.","The dataset contains moderate noise due to the diversity of coding styles, projects, and programming languages represented in the commits. Efforts were made to minimize noise through filtering and cleaning processes.","Minimal sensitive personal information is present in the dataset, as it has been anonymized to focus on code-related data rather than个人信息 associated with developers.","The dataset is regularly updated to include new commits from active projects, ensuring that the data remains current and reflective of real-world code development trends.","Potential biases include a heavier representation of popular programming languages (e.g., Python, JavaScript) and open-source projects with large communities. Additionally, the dataset may reflect temporal biases, as it captures code changes from different time periods.","This dataset is a collection of code commits and related metadata from public repositories. It is designed to facilitate research into automated code generation, debugging, and other AI-driven software development tasks.",No specific sensors were used. The data is derived solely from publicly available code repositories and does not involve any physical or environmental sensing.,https://arxiv.org/abs/2308.07124,mit,,
fc-sni-asset_BOM,,Unknown,2020-04-16T18:33:06+00:00,S&P 500 All Assets,2022-09-16T08:35:34+00:00,facebookresearch,https://github.com/facebookresearch/asset.git,Public,"The dataset was collected through various means including web scraping, manual annotation, and crowd collaboration.","Preprocessing steps include tokenization, lemmatization, and syntactic simplification to prepare texts for readability analysis.",Unknown,public,1325 KB,Text corpus for readability assessment and text simplification research.,Unknown,Personal information was anonymized using techniques like tokenization and pseudonymization where applicable.,"Some datasets may contain noise such as typos, ambiguous phrasing, and inconsistencies, but many have been cleaned to improve quality.",The datasets generally do not contain sensitive personal information but may include anonymized user data or demographic details related to readability studies.,Updates are typically infrequent and driven by new research contributions or domain-specific needs.,"Known biases include potential language-specific biases, focus on syntactic complexity over semantic meaning, and limited coverage of certain types of texts (e.g., technical or highly specialized content).","The dataset is part of a corpus used for text simplification tasks, focusing on improving readability for specific audiences such as non-native English speakers, individuals with dyslexia, or those with cognitive impairments.",The dataset does not rely on any specific sensors or physical devices but is based on textual data.,https://www.kaggle.com/datasets/yash16jr/s-and-p-500-all-assets,Other,book-summaries_BOM,tsi-lingnli_BOM
fc-cot-stream_aqua_BOM,,Unknown,2017-09-28T15:16:08+00:00,"Museums, Aquariums, and Zoos",2017-11-02T12:52:30+00:00,google-deepmind,https://github.com/google-deepmind/AQuA.git,Public,Collected from created question-rationale pairs focusing on explaining math solutions.,Preprocessed to structure data into problem-solution-rationale format.,Unknown,public,31025 KB,Text-based dataset involving problem-solution-rationale triples with numerical computations.,Unknown,"None required, as no personal information is included.",Low noise; structured and clean dataset for generating rationales and solutions.,No sensitive data present; focuses on math problems.,Unknown; likely static post-collection.,Potential inherent biases in problem creation require further study.,"Contains 100,000 pairs of questions with rationales and solutions for generating explanations and answers using NLP and arithmetic operations.",No sensors used; purely textual data.,https://www.kaggle.com/datasets/imls/museum-directory,Other,,
commitpackft-smt_BOM,,Unknown,2023-08-20T07:13:43+00:00,bigcode/commitpackft,2023-06-27T06:54:48+00:00,bigcode,https://huggingface.co/bigcode/commitpackft,Low,"The data is collected from public source code repositories such as GitHub, focusing on commits and their associated code changes. The collection involves extracting diffs (code modifications) along with commit messages.",Data preprocessing includes filtering out non-English content or irrelevant parts of the commits. The focus is on maintaining clear and relevant diffs between different versions of the code to support tasks like bug fixing and feature implementation.,Unknown,public,34280013.98 KB,"The dataset is textual, containing code snippets, diffs (code modifications), and commit messages. It supports tasks like code completion, bug fixing, and understanding code evolution.",Unknown,"The data is anonymized by removing identifiers such as usernames, commit hashes, or other personally identifiable information (PII). The focus remains on the code and its modifications without exposing sensitive or personal details.","Noise includes irrelevant content that is minimized through preprocessing. Datasets like COMMITPACK are curated to reduce noise, focusing on clear diffs and useful commit messages.","No sensitive personal information is included in the dataset. The data focuses on code and its modifications, not on personal or private user information.",The dataset is based on publicly available commits and does not have an active update mechanism beyond regular collection from GitHub. It is a snapshot of the data at the time of curation for specific tasks.,"Possible biases include overrepresentation of certain programming languages or projects popular on platforms like GitHub, dependency on the frequency and quality of commit messages, and potential lack of context in diffs which might lead to incomplete understanding of code changes.",A dataset containing modifications (diffs) and commit messages from public source code repositories such as GitHub. It is designed for training models to understand code evolution and fix bugs.,Data was collected using APIs such as GitHub's API for extracting commits and their associated diffs from public repositories.,https://arxiv.org/abs/2308.07124,mit,,
tsy-mbib_base-hate_speech_BOM,,,2024-02-06T15:57:17+00:00,mediabiasgroup/mbib-base,2023-02-06T13:51:22+00:00,mediabiasgroup,https://huggingface.co/mediabiasgroup/mbib-base,Public,"The data was collected through web scraping tools from various social media platforms, ensuring the inclusion of diverse content relevant to hate speech detection.","Text was cleaned, tokenized, and stop words removed. The dataset underwent balancing to address class imbalances typical in hate speech tasks.",Unknown,public,4864329.04 KB,Labeled text data designed for classification tasks in natural language understanding.,['text-classification'],"De-identification techniques were applied to remove personally identifiable information, preserving context without revealing individual identities.","Moderate noise level due to being user-generated content, though curated to minimize irrelevant data.",Minimal sensitive PII retained; contextual clues preserved for linguistic analysis purposes.,There is no current update mechanism specified for this dataset.,"Potential biases include selection bias and representation issues across different demographic groups, common in hate speech datasets.","A curated dataset focusing on hate speech detection, featuring labeled instances of both hate and non-hate content to aid in training and evaluating NLP models.",Not applicable as this dataset contains textual content.,https://media-bias-research.org/,cc-by-nc-nd-4.0,,
tsi-babi_nli-three_supporting_facts_BOM,,Unknown,2024-06-19T12:03:10+00:00,tasksource/babi_nli,2023-01-01T14:39:33+00:00,tasksource,https://huggingface.co/tasksource/babi_nli,Unknown,Unknown,Unknown,Unknown,public,403547.52 KB,Unknown,['text-classification'],Unknown,Unknown,Unknown,Unknown,Unknown,Towards AI Complete Question Answering: A Set of Prerequisite Toy Tasks,Unknown,https://huggingface.co/tasksource/babi_nli,bsd,,
